Elephant Range,Elephant Reserve with date of notification,State ,Total Area (in Sq. km)
Eastern India,Mayurjharna ER (24.10.02),W. Bengal,414
(South West Bengal- Jharkhand-Orissa),Singhbhum ER  (26.9.01),Jharkhand,13440
(South West Bengal- Jharkhand-Orissa),Mayurbhanj ER (29.9.01) ,Orissa,3214
(South West Bengal- Jharkhand-Orissa),Mahanadi ER (20.6.02),Orissa,1038
(South West Bengal- Jharkhand-Orissa),Sambalpur ER (27.3.02),Orissa,427
(South West Bengal- Jharkhand-Orissa),Badalkhol-Tamorpingla (15.9.2011),Chhattisgarh,1143.34
(South West Bengal- Jharkhand-Orissa), Lemru Elephant Reserve,Chhattisgarh ,1995.48
North Brahamputra ,Kameng ER (19.6.02),Arunachal ,1892
(Arunachal Ð Assam),Sonitpur ER (6.3.03),Assam,1420
South Brahamputra,Dihing-Patkai ER (17.4.03),Assam,937
(Assam- Arunachal),South Arunachal ER ( 29-2-08 ),Arunachal ,1957.5
Kaziranga, Kaziranga Ð Karbi Anglong ER (17.4.03),Assam,3270
(Assam- Nagaland),Dhansiri-Lungding ER (19.4.03),Assam,2740
(Assam- Nagaland), Intanki ER (28.2.05),Nagaland,202
(Assam- Nagaland),Singphan ER (16.8.2018),Nagaland,23.57
Eastern Dooars,Chirang-Ripu ER (7.3.03),Assam,2600
(Assam- W. Bengal),Eastern Dooars ER (28.8.02),W. Bengal,978
E. Himalayas (Meghalaya), Garo Hills ER (31.10.01) ,Meghalaya,"3,500"
Nilgiri ÐEastern Ghat (Karnataka- Kerala- Tamilnadu-Andhra), Mysore ER (25.11.02),Karnataka ,8055.94
Nilgiri ÐEastern Ghat (Karnataka- Kerala- Tamilnadu-Andhra),Dandeli ER (26.03.2015),Karnataka,2321.11
Nilgiri ÐEastern Ghat (Karnataka- Kerala- Tamilnadu-Andhra),Wayanad ER (2.4.02),Kerala,1200
Nilgiri ÐEastern Ghat (Karnataka- Kerala- Tamilnadu-Andhra),Nilgiri ER (19.9.03),Tamil nadu,4663
Nilgiri ÐEastern Ghat (Karnataka- Kerala- Tamilnadu-Andhra),Rayala ER (9.12.03),Andhra ,766
South Nilgiri,Nilambur ER (2.4.02) ,Kerala,1419
(Kerala- Tamilnadu),Coimbatore ER (19.9.03),Tamilnadu,566
Western Ghat,Anamalai ER (19.9.03) ,Tamilnadu,1457
(Tamilnadu- Kerala),Anamudi ER (2.4.02),Kerala,3728
(Tamilnadu- Kerala), Agasthyamalai ER (10.8.22),Tamilnadu,1197.48
Periyar,Periyar (2.4.02),Kerala  ,3742
(Kerala- Tamilnadu),Srivilliputtur ER(19.9.03),Tamilnadu,1249
Northern India (Uttaranchal-U.P.),Shivalik ER (28.10.02),Uttaranchal,5405
Northern India (Uttaranchal-U.P.),Uttar Pradesh ER        ( 9.9.09),U.P.,744
Northern India (Uttaranchal-U.P.),Terai ER,U.P,3049
